surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
68.0,3,6,10,170000,78,1978,1,-1,44.41158,26.11037,0.574460833,0.094529501
36.0,2,4,4,129000,5,1988,0,1,44.482544,26.099,0.389329947,0.099671654
56.37,2,1,5,98347,76,2026,1,0,44.420033,26.20014,1.448660017,0.59910392
65.2,3,1,3,114500,76,2026,1,0,44.417812,26.198832,1.181350027,0.61725024
73.0,3,1,3,119500,76,2026,1,0,44.416576,26.20275,1.198733482,0.95687385
113.0,3,8,9,470000,61,2025,1,-1,44.474728,26.114904,0.676238519,0.342297614
120.0,3,6,9,490000,61,2025,1,-1,44.475014,26.116106,0.63182885,0.326102696
40.91,2,1,5,89000,76,2026,1,0,44.420147,26.200256,1.463676803,0.599786222
53.0,2,1,7,120000,48,2021,1,1,44.36778,26.12049,1.767330112,0.082600174
42.0,1,2,5,61900,63,2026,1,1,44.39172,26.1579,2.241499385,0.23360821
68.0,3,0,3,130000,79,2022,0,-1,44.41793,26.189322,1.19535572,0.346378601
40.0,1,4,4,35500,48,2025,0,-1,44.34282,26.163181,0.654575062,0.662909559
73.0,3,5,8,124900,66,1986,0,-1,44.41336,26.0654,1.577153974,0.343951063
50.0,2,2,4,49900,48,2025,0,-1,44.346436,26.160128,0.186280205,0.391977721
184.0,3,0,4,101900,48,2025,0,-1,44.342453,26.162188,0.658363547,0.574860886
40.0,2,9,10,44900,42,1973,0,-1,44.385742,26.088419,2.173953083,0.301435673
33.0,1,0,5,74000,3,2026,1,2,44.373066,26.129911,0.845321746,0.078682042
61.0,2,1,13,200000,25,1991,1,-1,44.425587,26.129702,0.903239949,0.124836603
50.0,2,0,8,115500,71,1980,1,3,44.451168,26.114786,0.740474559,0.171067277
73.0,3,2,10,145000,10,1985,1,1,44.38031,26.13497,0.086170009,0.095379937
64.0,3,4,10,134000,29,1970,1,0,44.42292,26.14068,0.229387911,0.292688277
68.0,3,6,10,170000,78,1978,1,0,44.41134,26.10944,0.536806901,0.080953282
42.4,2,2,4,99700,30,1962,0,-1,44.427166,26.054123,0.251815715,0.191862534
62.3,3,5,5,109835,63,2020,1,0,44.362064,26.151098,0.964290061,0.195831717
60.0,3,0,4,144900,79,1977,0,1,44.414787,26.156982,0.375921483,0.117726778
62.0,3,5,5,132900,63,2020,1,1,44.36192,26.15104,0.974216428,0.184459572
53.0,2,5,8,96800,48,2026,1,0,44.360912,26.149862,1.017418928,0.080789066
